file,file-chromo,file inter chromo,chromo - file
out1261,3,0,1
out1262,3,0,1
out1263,3,0,1
out1264,3,0,1
out1266,3,0,1
out1267,3,0,1
out1269,3,0,1
out1270,3,0,1
out1271,3,0,1
out1272,3,0,1
out1273,3,0,1
out1275,3,0,1
out1276,3,0,1
out1278,3,0,1
out1280,3,0,1
out1281,3,0,1
out1282,3,0,1
out1284,3,0,1
out1285,3,0,1
out1287,3,0,1
out1289,3,0,1
out1291,3,0,1
out1292,3,0,1
out1294,3,0,1
out1296,3,0,1
out1300,3,0,1
out1301,3,0,1
out1303,3,0,1
out1305,3,0,1
out1307,3,0,1
out1308,3,0,1
out1310,3,0,1
out1312,3,0,1
out1314,3,0,1
out1315,3,0,1
out1317,3,0,1
out1320,3,0,1
out1322,3,0,1
out1327,3,0,1
out1328,3,0,1
out1329,3,0,1
out1330,3,0,1
out1332,3,0,1
out1335,3,0,1
out1336,3,0,1
out1339,3,0,1
out1340,3,0,1
out1341,3,0,1
out1342,3,0,1
out1346,3,0,1
out1348,3,0,1
out1349,3,0,1
out1350,3,0,1
out1351,3,0,1
out1354,3,0,1
out1356,3,0,1
out1359,3,0,1
out1360,3,0,1
out1362,3,0,1
out1365,3,0,1
out1366,3,0,1
out1369,3,0,1
out1371,3,0,1
out1372,3,0,1
out1374,3,0,1
out1375,3,0,1
out1376,3,0,1
out1377,3,0,1
out1380,3,0,1
out1383,3,0,1
out1384,3,0,1
out1386,3,0,1
out1388,3,0,1
out1390,3,0,1
out1391,3,0,1
out1393,3,0,1
out1395,3,0,1
out1396,3,0,1
out1397,3,0,1
out1398,3,0,1
out1399,3,0,1
out1400,3,0,1
out1401,3,0,1
out1403,3,0,1
out1405,3,0,1
out1409,3,0,1
out1411,3,0,1
out1412,3,0,1
out1414,3,0,1
out1415,3,0,1
out1416,3,0,1
out1418,3,0,1
out1420,3,0,1
out1423,3,0,1
out1426,3,0,1
out1428,3,0,1
out1430,3,0,1
out1431,3,0,1
out1432,3,0,1
out1433,3,0,1
out1434,3,0,1
out1435,3,0,1
out1437,3,0,1
out1438,3,0,1
out1439,3,0,1
out1440,3,0,1
out1442,3,0,1
out1444,3,0,1
out1445,3,0,1
out1447,3,0,1
out1448,3,0,1
out1449,3,0,1
out1450,3,0,1
out1451,3,0,1
out1452,3,0,1
out1454,3,0,1
out1456,3,0,1
out1458,3,0,1
out1459,3,0,1
out1460,3,0,1
out1461,3,0,1
out1462,3,0,1
out1465,3,0,1
out1466,3,0,1
out1467,3,0,1
out1468,3,0,1
out1469,3,0,1
out1471,3,0,1
out1473,3,0,1
out1476,3,0,1
out1477,3,0,1
out1478,3,0,1
out1481,3,0,1
out1482,3,0,1
out1483,3,0,1
out1484,3,0,1
out1486,3,0,1
out1488,3,0,1
out1491,3,0,1
out1492,3,0,1
out1494,3,0,1
out1496,3,0,1
out1499,3,0,1
out1502,3,0,1
out1504,3,0,1
out1505,3,0,1
out1506,3,0,1
out1508,3,0,1
out1509,3,0,1
out1510,3,0,1
out1511,3,0,1
out1514,3,0,1
out1517,3,0,1
out1519,3,0,1
out1520,3,0,1
out1521,3,0,1
out1523,3,0,1
out1525,3,0,1
out1526,3,0,1
out1529,3,0,1
out1530,3,0,1
out1532,3,0,1
out1533,3,0,1
out1534,3,0,1
out1535,3,0,1
out1537,3,0,1
out1539,3,0,1
out1540,3,0,1
out1541,3,0,1
out1542,3,0,1
out1543,3,0,1
out1544,3,0,1
out1545,3,0,1
out1548,3,0,1
out1549,3,0,1
out1550,3,0,1
out1551,3,0,1
out1553,3,0,1
out1554,3,0,1
out1556,3,0,1
out1558,3,0,1
out1560,3,0,1
out1561,3,0,1
out1563,3,0,1
out1565,3,0,1
out1567,3,0,1
out1568,3,0,1
out1569,3,0,1
out1571,3,0,1
out1573,3,0,1
out1575,3,0,1
out1577,3,0,1
out1579,3,0,1
out1580,3,0,1
out1582,3,0,1
out1584,3,0,1
out1585,3,0,1
out1587,3,0,1
out1590,3,0,1
out1591,3,0,1
out1593,3,0,1
out1594,3,0,1
out1595,3,0,1
out1596,3,0,1
out1597,3,0,1
out1599,3,0,1
out1601,3,0,1
out1602,3,0,1
out1604,3,0,1
out1605,3,0,1
out1606,3,0,1
out1608,3,0,1
out1610,3,0,1
out1611,3,0,1
out1612,3,0,1
out1614,3,0,1
out1615,3,0,1
out1617,3,0,1
out1619,3,0,1
out1621,3,0,1
out1623,3,0,1
out1625,3,0,1
out1626,3,0,1
out1628,3,0,1
out1630,3,0,1
out1632,3,0,1
out1634,3,0,1
out1635,3,0,1
out1640,3,0,1
out1641,3,0,1
out1643,3,0,1
out1645,3,0,1
out1648,3,0,1
out1649,3,0,1
out1650,3,0,1
out1651,3,0,1
out1652,3,0,1
out1653,3,0,1
out1654,3,0,1
out1656,3,0,1
out1657,3,0,1
out1659,3,0,1
out1660,3,0,1
out1661,3,0,1
out1662,3,0,1
out1664,3,0,1
out1665,3,0,1
out1667,3,0,1
out1669,3,0,1
out1671,3,0,1
out1672,3,0,1
out1674,3,0,1
out1675,3,0,1
out1677,3,0,1
out1678,3,0,1
out1679,3,0,1
out1681,3,0,1
out1683,3,0,1
out1684,3,0,1
out1686,3,0,1
out1687,3,0,1
out1688,3,0,1
out1690,3,0,1
out1691,3,0,1
out1692,3,0,1
out1694,3,0,1
out1695,3,0,1
out1697,3,0,1
out1699,3,0,1
out1700,3,0,1
out1701,3,0,1
out1703,3,0,1
out1706,3,0,1
out1708,3,0,1
out1710,3,0,1
out1712,3,0,1
out1713,3,0,1
out1715,3,0,1
out1716,3,0,1
out1717,3,0,1
out1719,3,0,1
out1720,3,0,1
out1721,3,0,1
out1722,3,0,1
out1723,3,0,1
out1724,3,0,1
out1725,3,0,1
out1726,3,0,1
out1728,3,0,1
out1730,3,0,1
out1731,3,0,1
out1732,3,0,1
out1733,3,0,1
out1735,3,0,1
out1738,3,0,1
out1741,3,0,1
out1742,3,0,1
out1744,3,0,1
out1745,3,0,1
out1746,3,0,1
out1747,3,0,1
out1748,3,0,1
out1750,3,0,1
out1752,3,0,1
out1753,3,0,1
out1754,3,0,1
out1756,3,0,1
out1761,3,0,1
out1764,3,0,1
out1766,3,0,1
out1768,3,0,1
out1770,3,0,1
out1771,3,0,1
out1775,3,0,1
out1777,3,0,1
out1778,3,0,1
out1779,3,0,1
out1781,3,0,1
out1782,3,0,1
out1783,3,0,1
out1785,3,0,1
out1786,3,0,1
out1787,3,0,1
out1788,3,0,1
out1789,3,0,1
out1790,3,0,1
out1791,3,0,1
out1793,3,0,1
out1794,3,0,1
out1796,3,0,1
out1797,3,0,1
out1798,3,0,1
out1799,3,0,1
out1801,3,0,1
out1803,3,0,1
out1805,3,0,1
out1806,3,0,1
out1808,3,0,1
out1810,3,0,1
out1812,3,0,1
out1813,3,0,1
out1815,3,0,1
out1816,3,0,1
out1818,3,0,1
out1819,3,0,1
out1820,3,0,1
out1822,3,0,1
out1824,3,0,1
out1826,3,0,1
out1828,3,0,1
out1829,3,0,1
out1830,3,0,1
out1831,3,0,1
out1832,3,0,1
out1834,3,0,1
out1836,3,0,1
out1839,3,0,1
out1840,3,0,1
out1842,3,0,1
