file,file-chromo,file inter chromo,chromo - file
out1142,3,0,20
out1144,3,0,20
out1146,3,0,20
out1150,3,0,20
out1153,3,0,20
out1154,3,0,20
out1156,3,0,20
out1158,3,0,20
out1159,3,0,20
out1162,3,0,20
out1166,3,0,20
out1170,3,0,20
out1171,3,0,20
out1173,3,0,20
out1175,3,0,20
out1178,3,0,20
out1180,3,0,20
out1182,3,0,20
out1188,3,0,20
out1190,3,0,20
out1195,3,0,20
out1197,3,0,20
out1199,3,0,20
out1201,3,0,20
out1202,3,0,20
out1206,3,0,20
out1207,3,0,20
out1208,3,0,20
out1209,3,0,20
out1210,3,0,20
out1212,3,0,20
out1214,3,0,20
out1216,3,0,20
out1218,3,0,20
out1220,3,0,20
out1221,3,0,20
out1222,3,0,20
out1223,3,0,20
out1224,3,0,20
out1225,3,0,20
out1226,3,0,20
out1229,3,0,20
out1231,3,0,20
out1232,3,0,20
out1233,3,0,20
out1235,3,0,20
out1238,3,0,20
out1239,3,0,20
out1241,3,0,20
out1243,3,0,20
out1246,3,0,20
out1247,3,0,20
out1248,3,0,20
out1252,3,0,20
out1256,3,0,20
out1258,3,0,20
out1260,3,0,20
out1261,3,0,20
out1262,3,0,20
out1263,3,0,20
out1266,3,0,20
out1267,3,0,20
out1269,3,0,20
out1270,3,0,20
out1271,3,0,20
out1272,3,0,20
out1273,3,0,20
out1275,3,0,20
out1276,3,0,20
out1278,3,0,20
out1280,3,0,20
out1281,3,0,20
out1282,3,0,20
out1284,3,0,20
out1285,3,0,20
out1287,3,0,20
out1289,3,0,20
out1291,3,0,20
out1292,3,0,20
out1294,3,0,20
out1296,3,0,20
out1300,3,0,20
out1301,3,0,20
out1303,3,0,20
out1305,3,0,20
out1307,3,0,20
out1308,3,0,20
out1310,3,0,20
out1312,3,0,20
out1314,3,0,20
out1315,3,0,20
out1317,3,0,20
out1320,3,0,20
out1322,3,0,20
out1327,3,0,20
out1328,3,0,20
out1329,3,0,20
out1330,3,0,20
out1332,3,0,20
out1335,3,0,20
out1336,3,0,20
out1339,3,0,20
out1340,3,0,20
out1341,3,0,20
out1342,3,0,20
out1346,3,0,20
out1348,3,0,20
out1350,3,0,20
out1351,3,0,20
out1354,3,0,20
out1356,3,0,20
out1360,3,0,20
out1362,3,0,20
out1365,3,0,20
out1366,3,0,20
out1369,3,0,20
out1371,3,0,20
out1372,3,0,20
out1374,3,0,20
out1376,3,0,20
out1377,3,0,20
out1383,3,0,20
out1384,3,0,20
out1386,3,0,20
out1390,3,0,20
out1391,3,0,20
out1393,3,0,20
out1395,3,0,20
out1396,3,0,20
out1398,3,0,20
out1399,3,0,20
out1400,3,0,20
out1401,3,0,20
out1403,3,0,20
out1405,3,0,20
out1409,3,0,20
out1411,3,0,20
out1412,3,0,20
out1414,3,0,20
out1415,3,0,20
out1416,3,0,20
out1418,3,0,20
out1423,3,0,20
out1426,3,0,20
out1428,3,0,20
out1430,3,0,20
out1431,3,0,20
out1432,3,0,20
out1433,3,0,20
out1434,3,0,20
out1435,3,0,20
out1437,3,0,20
out1439,3,0,20
out1440,3,0,20
out1442,3,0,20
out1444,3,0,20
out1445,3,0,20
out1447,3,0,20
out1448,3,0,20
out1449,3,0,20
out1451,3,0,20
out1452,3,0,20
out1454,3,0,20
out1456,3,0,20
out1458,3,0,20
out1459,3,0,20
out1460,3,0,20
out1461,3,0,20
out1462,3,0,20
out1465,3,0,20
out1466,3,0,20
out1467,3,0,20
out1468,3,0,20
out1469,3,0,20
out1471,3,0,20
out1473,3,0,20
out1476,3,0,20
out1477,3,0,20
out1478,3,0,20
out1481,3,0,20
out1482,3,0,20
out1483,3,0,20
out1484,3,0,20
out1486,3,0,20
out1488,3,0,20
out1491,3,0,20
out1492,3,0,20
out1494,3,0,20
out1496,3,0,20
out1499,3,0,20
out1502,3,0,20
out1504,3,0,20
out1505,3,0,20
out1508,3,0,20
out1509,3,0,20
out1511,3,0,20
out1514,3,0,20
out1517,3,0,20
out1519,3,0,20
out1520,3,0,20
out1523,3,0,20
out1525,3,0,20
out1526,3,0,20
out1529,3,0,20
out1530,3,0,20
out1533,3,0,20
out1534,3,0,20
out1537,3,0,20
out1540,3,0,20
out1541,3,0,20
out1542,3,0,20
out1543,3,0,20
out1544,3,0,20
out1545,3,0,20
out1549,3,0,20
out1550,3,0,20
out1553,3,0,20
out1554,3,0,20
out1556,3,0,20
out1558,3,0,20
out1560,3,0,20
out1561,3,0,20
out1563,3,0,20
out1565,3,0,20
out1567,3,0,20
out1569,3,0,20
out1571,3,0,20
out1573,3,0,20
out1575,3,0,20
out1577,3,0,20
out1579,3,0,20
out1580,3,0,20
out1582,3,0,20
out1584,3,0,20
out1585,3,0,20
out1587,3,0,20
out1590,3,0,20
out1591,3,0,20
out1593,3,0,20
out1594,3,0,20
out1595,3,0,20
out1596,3,0,20
out1597,3,0,20
out1601,3,0,20
out1602,3,0,20
out1604,3,0,20
out1605,3,0,20
out1606,3,0,20
out1608,3,0,20
out1610,3,0,20
out1611,3,0,20
out1612,3,0,20
out1614,3,0,20
out1615,3,0,20
out1617,3,0,20
out1619,3,0,20
out1621,3,0,20
out1623,3,0,20
out1625,3,0,20
out1626,3,0,20
out1628,3,0,20
out1630,3,0,20
out1632,3,0,20
out1634,3,0,20
out1635,3,0,20
out1640,3,0,20
out1641,3,0,20
out1643,3,0,20
out1645,3,0,20
out1648,3,0,20
out1649,3,0,20
out1650,3,0,20
out1651,3,0,20
out1652,3,0,20
out1653,3,0,20
out1654,3,0,20
out1656,3,0,20
out1657,3,0,20
out1659,3,0,20
out1660,3,0,20
out1661,3,0,20
out1662,3,0,20
out1664,3,0,20
out1665,3,0,20
out1669,3,0,20
out1671,3,0,20
out1672,3,0,20
out1674,3,0,20
out1675,3,0,20
out1678,3,0,20
out1679,3,0,20
out1683,3,0,20
out1684,3,0,20
out1686,3,0,20
out1687,3,0,20
out1688,3,0,20
out1691,3,0,20
out1692,3,0,20
out1694,3,0,20
out1695,3,0,20
out1697,3,0,20
out1699,3,0,20
out1700,3,0,20
out1701,3,0,20
out1703,3,0,20
out1706,3,0,20
out1708,3,0,20
out1710,3,0,20
out1712,3,0,20
out1713,3,0,20
out1715,3,0,20
out1716,3,0,20
out1717,3,0,20
out1720,3,0,20
out1721,3,0,20
out1722,3,0,20
out1723,3,0,20
out1724,3,0,20
out1725,3,0,20
out1726,3,0,20
out1728,3,0,20
out1730,3,0,20
out1731,3,0,20
out1732,3,0,20
out1733,3,0,20
out1735,3,0,20
out1738,3,0,20
out1741,3,0,20
out1742,3,0,20
out1744,3,0,20
out1745,3,0,20
out1746,3,0,20
out1747,3,0,20
out1748,3,0,20
out1750,3,0,20
out1752,3,0,20
out1753,3,0,20
out1754,3,0,20
out1756,3,0,20
out1761,3,0,20
out1764,3,0,20
out1766,3,0,20
out1770,3,0,20
out1771,3,0,20
out1775,3,0,20
out1777,3,0,20
out1778,3,0,20
out1779,3,0,20
out1781,3,0,20
out1782,3,0,20
out1783,3,0,20
out1785,3,0,20
out1786,3,0,20
out1787,3,0,20
out1788,3,0,20
out1789,3,0,20
out1790,3,0,20
out1791,3,0,20
out1793,3,0,20
out1794,3,0,20
out1796,3,0,20
out1797,3,0,20
out1798,3,0,20
out1799,3,0,20
out1801,3,0,20
out1803,3,0,20
out1805,3,0,20
out1806,3,0,20
out1808,3,0,20
out1810,3,0,20
out1812,3,0,20
out1815,3,0,20
out1816,3,0,20
out1818,3,0,20
out1819,3,0,20
out1820,3,0,20
out1822,3,0,20
out1824,3,0,20
out1826,3,0,20
out1828,3,0,20
out1829,3,0,20
out1830,3,0,20
out1831,3,0,20
out1832,3,0,20
out1834,3,0,20
out1836,3,0,20
out1839,3,0,20
out1840,3,0,20
out1842,3,0,20
out1843,3,0,20
out1844,3,0,20
out1845,3,0,20
out1849,3,0,20
out1850,3,0,20
out1852,3,0,20
out1853,3,0,20
out1856,3,0,20
out1860,3,0,20
out1862,3,0,20
out1863,3,0,20
out1864,3,0,20
out1869,3,0,20
out1871,3,0,20
out1872,3,0,20
out1874,3,0,20
out1875,3,0,20
out1876,3,0,20
out1877,3,0,20
out1879,3,0,20
out1881,3,0,20
out1884,3,0,20
out1885,3,0,20
out1887,3,0,20
out1888,3,0,20
out1890,3,0,20
out1891,3,0,20
out1892,3,0,20
out1893,3,0,20
out1895,3,0,20
out1898,3,0,20
out1900,3,0,20
out1901,3,0,20
out1902,3,0,20
out1903,3,0,20
out1905,3,0,20
out1906,3,0,20
out1908,3,0,20
out1909,3,0,20
out1910,3,0,20
out1911,3,0,20
out1914,3,0,20
out1915,3,0,20
out1917,3,0,20
out1919,3,0,20
out1922,3,0,20
out1923,3,0,20
out1924,3,0,20
out1925,3,0,20
out1927,3,0,20
out1929,3,0,20
out1930,3,0,20
out1932,3,0,20
out1934,3,0,20
out1935,3,0,20
out1937,3,0,20
out1938,3,0,20
out1940,3,0,20
out1942,3,0,20
out1944,3,0,20
out1946,3,0,20
out1947,3,0,20
out1949,3,0,20
out1952,3,0,20
out1955,3,0,20
out1956,3,0,20
out1957,3,0,20
out1958,3,0,20
out1961,3,0,20
out1963,3,0,20
out1965,3,0,20
out1966,3,0,20
out1967,3,0,20
out1970,3,0,20
out1971,3,0,20
out1973,3,0,20
out1974,3,0,20
out1975,3,0,20
out1976,3,0,20
out1978,3,0,20
out1980,3,0,20
out1982,3,0,20
out1984,3,0,20
out1985,3,0,20
out1987,3,0,20
out1990,3,0,20
out1991,3,0,20
out1992,3,0,20
out1994,3,0,20
out1996,3,0,20
out1997,3,0,20
