dom	fs(2)ltoPP43
l(3)mbt	fs(2)ltoPP43
tld	fs(2)ltoPP43
tin	fs(2)ltoPP43
rdo	fs(2)ltoPP43
da	CycE
hpo	CycE
tok	CycE
spn-A	CycE
Borr	CycE
ine	CycE
bon	CycE
cin	CycE
Mer	CycE
glu	CycE
esc	CycE
alien	CycE
Dl	CycE
Stat92E	CycE
CycA	CycE
Eip63F-1	CycE
E(z)	CycE
Caf1	CycE
dmt	CycE
thr	CycE
asf1	CycE
betaTub56D	CycE
Lim1	CG8247
ird5	CG8247
Stat92E	CG8247
ttk	CG8247
Wnt5	CSN4
sar1	CSN4
Dcp-1	CSN4
drk	CSN4
Cks30A	CSN4
caup	CSN4
NetB	CSN4
bcd	CSN4
SelG	CSN4
d	CSN4
msk	18w
rib	18w
trn	18w
Mitf	18w
Optix	18w
Patj	bs
Fas3	bs
par-1	bs
dock	bs
Akap200	Nrt
qkr58E-3	mask
svr	mask
CG8216	mask
G-ialpha65A	mask
Krn	gl
fw	gl
caps	gl
dsf	Cp1
vap	jing
SelD	jing
Tl	jing
shot	jing
Dad	shrb
slam	shrb
lva	shrb
Pvr	raw
wupA	raw
RhoL	raw
Set2	raw
Wnt5	raw
CG1942	raw
pav	raw
ash1	raw
Dok	CG9445
Su(H)	CG9445
tum	CG9445
alph	CG9445
mbo	CG9445
wee	CG9445
osa	CG9445
grp	CG9445
Tm1	CG9445
gbb	gbb
spir	gbb
Vhl	Hs2st
sktl	Hs2st
Oseg1	Hs2st
oaf	Hs2st
mth	Hs2st
Pink1	Hs2st
MYPT-75D	Hs2st
tin	sls
tra	sls
Lcp65Ag1	kis
Axn	kis
Sry-delta	kis
vlc	kis
brat	kis
stg	kis
srp	kis
mib1	run
cas	run
robo	run
CG32486	run
CG34379	run
Dap160	run
mam	run
LanB1	run
pnr	run
jar	run
alpha-Spec	run
aft	run
Antp	run
eg	run
wus	Fmr1
dj	Fmr1
sqd	Fmr1
d4	Myo31DF
bhr	Myo31DF
lwr	Myo31DF
oaf	Myo31DF
Pink1	ALiX
tra2	ALiX
cher	sgg
yrt	sgg
Sry-delta	sgg
meso18E	sgg
Rbp9	sgg
prod	sgg
CG2678	sgg
lola	mbt
emc	mbt
tup	morgue
Sxl	morgue
oaf	morgue
lva	morgue
Pvr	Set2
wal	Set2
RhoL	Set2
raw	Set2
caup	Set2
pav	Set2
pros	Set2
toy	exu
emc	exu
stumps	exu
cp309	exu
rib	exu
Dlic2	exu
trn	exu
CG12896	exu
sli	exu
da	exu
hpo	esc
tok	esc
spn-A	esc
Borr	esc
CG16719	esc
ine	esc
bon	esc
cin	esc
Mer	esc
E(z)	esc
Caf1	esc
dmt	esc
thr	esc
asf1	esc
CG18369	esc
mbl	dah
asf1	Dl
Es2	Dl
Pk61C	Sur
p53	Sur
lmd	Sur
neur	Sur
MYPT-75D	Rpd3
Su(var)2-10	Rpd3
CycB	Rpd3
sina	Rpd3
xl6	Rpd3
CtBP	Rpd3
kuk	Rpd3
fs(2)ltoPP43	Rpd3
dpld	Rpd3
dom	Rpd3
l(3)mbt	Rpd3
tld	Rpd3
tin	Rpd3
Not1	Rpd3
Rab5	CG4945
ttk	eve
bon	eve
cin	CycA
Mer	CycA
CycE	CycA
esc	CycA
alien	CycA
Dl	CycA
Stat92E	CycA
Eip63F-1	CycA
E(z)	CycA
Caf1	CycA
dmt	CycA
thr	CycA
asf1	CycA
W	CycA
nej	LIMK1
Es2	LIMK1
bap	LIMK1
Scgdelta	LIMK1
sty	LIMK1
zfh2	LIMK1
p53	LIMK1
enok	LIMK1
chrw	LIMK1
flfl	LIMK1
Dp	Rca1
CG12301	Rca1
fs(1)K10	Rca1
amx	Rca1
drm	Rca1
CG1244	Rca1
Taf4	Rca1
dl	Rca1
numb	Rca1
hyx	Rca1
pcm	Rca1
Arc-p34	Rca1
tin	Mbs
noc	Mbs
dome	opa
sqd	lwr
tud	lwr
d4	lwr
bhr	lwr
par-6	lwr
pbl	lwr
cactin	wee
sec23	wee
hkl	wee
pyd	ytr
CG2678	ytr
rad50	blow
xmas-2	Hph
sced	Hph
pio	Hph
Dredd	Hph
caps	Hph
betaTub56D	fs(1)M3
bon	chinmo
Cyp1	chinmo
