pio	Dredd
tral	Dredd
dsd	sll
toe	Hmgs
Snap	Hmgs
chico	caps
Cp1	caps
l(2)efl	Su(var)2-10
Pcaf	Su(var)2-10
xl6	Su(var)2-10
CtBP	Su(var)2-10
kuk	Su(var)2-10
dom	Su(var)2-10
l(3)mbt	Su(var)2-10
tld	Su(var)2-10
Su(var)2-10	Su(var)2-10
Vhl	spir
rux	spir
Atg5	spir
lilli	spir
dj	qua
ena	qua
Myo61F	Dat
Ark	Lac
trn	mib1
Mmp1	mib1
v	ct
Optix	knrl
E2f	Alh
l(1)G0289	Alh
Mkp3	pnut
tou	pnut
siz	pnut
cta	CG2681
sec23	CG2681
Pde8	Su(H)
spir	Su(H)
l(3)mbt	CtBP
CG33205	CtBP
14-3-3zeta	Orct
boss	Orct
kuz	fl(2)d
SelD	fl(2)d
E(z)	CycE
Caf1	CycE
dmt	CycE
thr	CycE
CG18369	CycE
mbl	Pen
CG34417	Pen
ix	Pen
hkb	trio
Sry-delta	trio
PhKgamma	stg
bap	dec-1
bigmax	dec-1
Rpd3	Su(var)2-10
dpld	Su(var)2-10
dpld	CycB
dom	CycB
l(3)mbt	CycB
tld	CycB
ssh	Dat
Myo31DF	Dat
RhoGAP68F	Lac
zfh1	CG3075
qkr58E-3	Akap200
CG10641	Rab5
mmy	Rab5
capu	Rab5
neur	Rab5
scrib	Arc42
hyd	Arc42
rdx	Arc42
crol	Arc42
tow	RhoGAPp190
Khc	RhoGAPp190
rhea	RhoGAPp190
capu	RhoGAPp190
flw	d
baz	Sema-2a
fd59A	Sema-2a
CG9520	eg
foxo	eg
dsf	eg
rg	Apc2
ppan	knrl
Jra	knrl
ap	CG2681
prd	CG2681
hkb	hkl
bl	hkl
Abd-B	sina
Glycogenin	sina
xl6	sina
pelo	ry
cta	ry
bib	ry
tin	emp
N	CG2681
CG9509	hkl
cp309	hkl
opa	Antp
CG33205	Antp
ena	Myo61F
Dat	Myo61F
Appl	Myo61F
v	Idgf2
tra2	Idgf2
beta4GalNAcTA	trio
sgg	trio
Ptpmeg	Su(z)12
CG9520	emp
mmy	emp
Hr78	emp
tkv	pros
ttk	pros
CG6416	ry
CG9509	ry
Patj	ry
dsd	ry
Sh	Rack1
Orct	Sobp
mri	ash1
Ald	ash1
tra2	ash1
CdsA	sbb
Cyt-c-d	sbb
rdx	Eip71CD
pdm2	Eip71CD
knrl	Eip71CD
dl	ppan
l(2)efl	ppan
car	Iswi
fs(2)ltoPP43	Iswi
tub	Tina-1
Ald	Tina-1
Hph	Tina-1
pdm2	Tina-1
chinmo	bon
Dhc64C	bon
prd	chic
srp	chic
sktl	wal
ics	wal
rux	wal
Ca-alpha1D	Abd-B
Pcaf	Abd-B
chif	Abd-B
Glycogenin	Abd-B
xl6	Abd-B
CtBP	Abd-B
kuk	Abd-B
Rpd3	Abd-B
dpld	Abd-B
dom	Abd-B
l(3)mbt	Abd-B
tld	Abd-B
BicD	Abd-B
Abl	bigmax
Pak	bigmax
wus	bigmax
dj	bigmax
dec-1	bigmax
sax	bigmax
fax	NAT1
Hs6st	NAT1
Atg6	NAT1
G-oalpha47A	wupA
wupA	wupA
Scgdelta	G-oalpha47A
CG6416	G-oalpha47A
fred	Alk
emp	Alk
shn	mmy
sav	emp
MED4	emp
rad50	emp
tup	crc
morgue	crc
Rab7	Rab5
mbt	Rab5
th	Rab5
Rab5	Rab5
Syx1A	kay
trio	kay
yrt	Jra
Sry-delta	Jra
Idgf2	sll
Pgant35A	Hmgs
ken	spir
rdo	spir
Su(z)12	spn-A
