sgg	Sry-delta
meso18E	Sry-delta
cta	Sry-delta
prod	Sry-delta
stg	Sry-delta
E2f	Alh
l(1)G0289	Alh
foxo	pnut
Mkp3	pnut
frc	pnut
tou	pnut
siz	pnut
cbx	phyl
RpL30	phyl
eIF-4a	phyl
stil	phyl
Tm1	phyl
CG17739	CG17739
mus304	CG17739
CG18369	B4
mbl	B4
scrib	B4
Sobp	B4
l(2)gd1	B4
CG34417	B4
tub	B4
kkv	B4
LCBP1	B4
Pk61C	CG2681
Fas3	CG2681
Gtp-bp	CG2681
cta	CG2681
ap	CG2681
pdm2	CG2681
prd	CG2681
Rab7	CG2681
cathD	tow
RhoGAPp190	tow
Cip4	tow
uzip	tow
Jra	tow
ix	hkl
hkb	hkl
beta4GalNAcTA	hkl
bl	hkl
Bap60	hkl
ytr	hkl
her	hkl
neur	hkl
Su(var)2-10	sina
sle	sina
Pcaf	sina
chif	sina
Abd-B	sina
Glycogenin	sina
xl6	sina
CtBP	sina
kuk	sina
Rpd3	sina
dpld	sina
dom	sina
Dscam	sina
ttk	sina
sll	ry
CkIIalpha	ry
Patj	ry
dsd	ry
hyd	ry
trc	ry
pelo	ry
cta	ry
BicD	ry
spir	rux
bib	rux
fal	rux
spin	rux
ics	rux
Hs2st	rux
CG1942	rux
RhoGAP68F	rux
Idgf4	rux
Mitf	rux
Tm1	rux
scyl	boss
boss	boss
sgl	boss
eya	boss
pnut	Mkp3
l(2)gd1	Mkp3
tou	Mkp3
Tm1	Mkp3
inaC	inaC
Uba1	sno
p53	sno
blow	sno
e	sno
cg	jagn
tra	jagn
Jra	dpn
sll	dpn
Lcp65Ag1	dpn
Axn	dpn
Sry-delta	dpn
vlc	dpn
kis	dpn
meso18E	dpn
brat	dpn
prod	dpn
stg	dpn
Rab5	dpn
Tina-1	wrapper
rhea	wrapper
capu	wrapper
mbt	wrapper
Hr78	wrapper
sle	Ca-alpha1D
chif	Ca-alpha1D
Abd-B	Ca-alpha1D
Dscam	Ca-alpha1D
Alh	Ca-alpha1D
Pop2	E2f
flfl	E2f
CG12301	Dp
fs(1)K10	Dp
amx	Dp
drm	Dp
CG1244	Dp
Taf4	Dp
dl	Dp
numb	Dp
Rca1	Dp
hyx	Dp
Arc-p34	Dp
Dif	Dp
neur	Dp
MYPT-75D	l(2)efl
Su(var)2-10	l(2)efl
CycB	l(2)efl
Pcaf	l(2)efl
Iswi	l(2)efl
Ddx1	l(2)efl
car	l(2)efl
xl6	l(2)efl
CtBP	l(2)efl
kuk	l(2)efl
fs(2)ltoPP43	l(2)efl
Sur	l(2)efl
Rpd3	l(2)efl
dpld	l(2)efl
dom	l(2)efl
Dscam	l(2)efl
l(3)mbt	l(2)efl
tld	l(2)efl
tin	l(2)efl
tral	l(2)efl
santa-maria	cnc
ofs	cnc
ea	cnc
CG34450	cnc
Crk	cnc
CG6372	cnc
CG17470	cnc
spir	cnc
Sb	Atg5
Pak	Atg5
CG1942	Atg5
mth	Atg5
Pvf1	Atg5
Crk	acj6
sax	acj6
pnt	Trl
pyd	Trl
Sema-1b	Trl
tll	Trl
ena	d4
Dat	d4
dome	d4
sqd	d4
tud	d4
Myo31DF	d4
bhr	d4
lwr	d4
rdo	d4
da	CG16719
hpo	CG16719
tok	CG16719
spn-A	CG16719
Borr	CG16719
glu	CG16719
CycE	CG16719
esc	CG16719
alien	CG16719
Dl	CG16719
CycA	CG16719
Eip63F-1	CG16719
lic	CG16719
E(z)	CG16719
Caf1	CG16719
dmt	CG16719
thr	CG16719
asf1	CG16719
Uba1	CadN
ics	CadN
Rheb	CadN
eIF-4E	CadN
G-ialpha65A	CadN
Sxl	gro
how	gro
fw	gro
Mmp1	gro
CG8149	sec13
sn	sec13
Traf6	sec13
trio	sec13
LanB2	klar
oaf	klar
run	klar
dnc	klar
tkv	klar
Mef2	klar
sdt	Rack1
CG17221	Rack1
esg	Rack1
mth	Rack1
Arc42	Rack1
sav	Sobp
B4	Sobp
Dad	Sobp
tub	Sobp
Orct	Sobp
sar1	Sobp
Cip4	Sobp
Pde8	Sobp
140up	ash1
CG9445	ash1
Snap	ash1
grp	ash1
Msp-300	ash1
fd59A	ash1
spen	inv
bib	inv
Abd-B	inv
glec	inv
Pgant35A	inv
Moe	inv
Pk61C	shot
chic	shot
wupA	shot
rhea	shot
Nf1	shot
shrb	shot
Set2	shot
Nrx-IV	shot
sll	shot
PhKgamma	Oseg1
shn	Oseg1
Cks30A	Oseg1
Tm1	Oseg1
Spred	Spred
tra2	Spred
by	puc
CG32486	puc
Sin3A	Atg6
