Sb	Idgf4
e	fw
dome	bs
Chi	stil
W	chrw
Pi3K92E	fs(1)K10
Mef2	Nrx-IV
fru	alpha-Spec
trc	Nrx-IV
sls	btl
glu	pio
Ice	Idgf2
ry	B4
SelD	dib
Khc	Optix
Ca-alpha1D	betaTub56D
sty	CG9520
Idgf4	srp
CG12301	crc
eff	G-ialpha65A
bhr	wls
bcd	dei
Hem	sw
crc	Mmp1
pnut	sgl
sina	E(z)
Rab7	tow
Dat	d4
ttk	wal
CdsA	sbb
par-6	Idgf5
mfas	Ddx1
pros	tkv
Pgant35A	Snap
Sema-2a	yellow-f
CycB	Myo31DF
CG9104	Idgf2
Jra	Idgf5
bs	ksr
chn	frc
wrapper	rhea
betaTub56D	CycE
fax	Nrt
knrl	l(2)gl
Ice	baz
kis	Dl
CG3987	wus
hyx	CG12301
by	Pvr
Rack1	mth
Lis-1	CycA
spn-A	sina
msi	eya
Chc	Akap200
nmo	Idgf5
ea	Tl
Dif	flfl
CG17739	CG17739
Mer	Aph-4
Es2	CG34417
btl	siz
Pde8	Idgf1
Sur	ena
MED4	tou
Mitf	Apc
tld	xl6
ninaE	W
Bap60	Alk
Dhc64C	nej
asf1	bon
Rpd3	dom
CtBP	Abd-B
Pen	Ald
Idgf4	Idgf2
CG4945	CSN4
cbt	CG2678
E2f	Axn
Wnt5	ey
NetB	Sb
Ark	Jra
bt	ey
ena	Myo61F
brat	Myo61F
rdo	CycE
Sema-2a	Ephrin
Atg6	phyl
Su(z)12	fred
Pi3K92E	Src64B
BicD	Borr
tin	sls
Hr46	Sobp
mth	chic
14-3-3zeta	grp
alph	rad50
Nrt	Cyp1
CG32082	Idgf1
Eip63F-1	ssh
BicD	dl
CG10641	chrw
CG9769	amx
ena	d4
RhoGAP68F	Aph-4
Apc2	ea
nmo	Dcp-1
mri	Rab7
nmo	cbt
cathD	CG13850
sax	prd
CG13850	noc
bap	chrw
CG33205	Myo61F
lilli	CadN
dally	stil
sktl	asf1
18w	Dap160
opa	CG14995
numb	pio
blow	fal
Es2	cp309
sas	lmd
Alk	dib
vap	Dap160
CG9509	Eip63F-1
CG9445	l(2)37Cc
prd	trc
Abd-B	sina
eve	cbt
sas	CG9520
sar1	Cip4
stumps	Cyp1
dah	kkv
CG1244	glu
Dl	tok
pcm	drm
knrl	Nrt
mfas	Iswi
cos	RhoL
form3	fred
jumu	CG8247
qm	svr
hyx	Rca1
CG8216	lilli
Arp66B	sec13
Wnt5	Atx2
kkv	Uba1
grp	shn
Aph-4	Cka
qua	raw
CG17470	Mmp1
toy	eya
wrapper	mbt
chinmo	Ank2
Cyp1	gkt
Dscam	Prm
cnc	Crk
Dys	mmy
Ank2	Apc
Btk29A	Idgf5
p53	kkv
LIMK1	Aph-4
cbx	l(2)gl
gkt	cort
neur	Iswi
Mtl	dpn
beta4GalNAcTA	Lac
wg	btl
ap	dup
up	Ca-alpha1D
sdt	CG1942
Dscam	bib
wal	pyd
Dys	Dap160
Vhl	sas
e	tin
eg	jumu
pcm	Rca1
Aph-4	Mtl
spir	Aph-4
t	Sry-delta
Idgf2	dl
alph	mbo
G-ialpha65A	gl
CG12301	Tm1
gro	emc
Glycogenin	fog
ix	cbt
rhea	alpha-Spec
Uba1	uzip
mbl	Rheb
CG8247	pdm2
MED11	CycB
eIF-4E	Optix
klar	caup
CkIIalpha	cort
eve	CG34417
PebIII	by
gro	Sxl
up	jumu
mus304	ey
Eip71CD	Pak
blow	raw
lilli	ics
tud	lwr
CG32486	t
cnk	pbl
Sema-2a	SelD
shrb	chinmo
tok	cos
vap	brm
zfh1	Myo61F
Idgf5	hdc
Ggamma1	chif
flw	MED24
pot	Dad
Lis-1	fs(1)K10
Dcp-1	Antp
esc	dl
tsh	CG34379
CG17221	mth
pelo	trc
CG6416	bl
bigmax	Hs2st
sktl	Akt1
toe	Dys
fd59A	scra
Krn	CG1942
sty	LIMK1
emc	gro
PhKgamma	mus304
Eip74EF	Sxl
CycE	glu
dpn	CG34450
stg	meso18E
Ddx1	l(3)mbt
PebIII	CG34417
amx	140up
Orct	thr
mmy	spen
bowl	jagn
hpo	spn-A
nej	Su(H)
Idgf1	sbb
dnc	Nf1
140up	RhoGAPp190
LCBP1	gkt
sno	tum
Moe	sas
spen	ct
hpo	up
Cyp1	CG13850
tral	CG34450
LIMK1	chrw
Uba1	NAT1
Apc2	Dys
drl	Idgf2
dpld	kuk
CG9104	NetB
Taf4	ry
Ark	Ice
Galpha73B	Pde8
loco	v
Dif	svr
wee	betaTub56D
sgl	e
Arc-p34	CG2678
pn	Alk
dome	Cks30A
Antp	Atg6
ex	FKBP59
chic	dnc
Btk29A	dsd
cort	Lis-1
sdt	Aph-4
ics	Sh
vlc	CG9509
Arc42	crol
Cip4	drk
SelD	hdc
Optix	Eip63F-1
bnb	Nrx-IV
run	cas
svr	stumps
mmy	Dys
knrl	Ddx1
sina	dom
dib	brk
Tm1	hpo
Dl	CG9104
ix	snf
Tm1	neur
mth	sw
sax	brm
Apc	uzip
gro	Pgant35A
Sur	jumu
robo	LanB1
Lim1	Uba1
Syx1A	bnl
eIF-4E	par-6
Mkp3	Nrx-IV
eIF-4E	baz
Lis-1	dei
sbb	Idgf1
rhea	run
scra	chrw
kis	Alh
CdsA	Rho1
fax	Src42A
ksr	mth
wal	Idgf4
FKBP59	ppan
mth	mam
Dp	flfl
Lis-1	tld
pdm2	Eip71CD
Sxl	stil
foxo	eg
eIF-4E	CdsA
CG32486	aft
Hem	Mef2
lmd	sdt
CycE	up
vlc	cta
da	Ef1gamma
CG34417	mbo
pot	asf1
glu	cin
dl	hyx
tok	CycA
Crk	Idgf4
Mtl	E2f
pio	twi
CG32082	Eip71CD
msi	dj
dlg1	ben
Dl	hpo
CdsA	fred
14-3-3zeta	Orct
pelo	Sobp
