Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
four-way junction DNA binding (GO:0000400)	1/9	0.01475529825588725064966499900265262112952768802642822265625	0.05460561295223455291480973983198055066168308258056640625	0.03469577369494224183821273754801950417459011077880859375	0.1333555474186189915286604446009732782840728759765625	-2.9474450561688847	12.426879483627678	spn-A
semaphorin receptor binding (GO:0030215)	1/10	0.01638168388567036448666414116814848966896533966064453125	0.05460561295223455291480973983198055066168308258056640625	0.038101584976748280320091311068608774803578853607177734375	0.1333555474186189915286604446009732782840728759765625	-2.7576247454974756	11.338226200473368	pbl
kinase binding (GO:0019900)	3/64	0.000159209503157234518420926061565978670842014253139495849609375	0.002786166305251604018156097453129405039362609386444091796875	0.00156108416413557938608180908346412252285517752170562744140625	0.03616990457809500514319012154373922385275363922119140625	-1.2660880173443925	11.072306362077182	CycA;cos;CycE
DNA secondary structure binding (GO:0000217)	1/11	0.01800546599960371751958376762559055350720882415771484375	0.057290119089648199046660437261380138806998729705810546875	0.04149595007766848642205559372087009251117706298828125	0.1379399117475172686919648867842624895274639129638671875	-2.473639781985925	9.936808649388603	spn-A
DNA binding (GO:0003677)	6/448	0.000080975937177431094558810453776231952360831201076507568359375	0.0018894385341400588007587657557451166212558746337890625	0.003813744086986669591665677359060282469727098941802978515625	0.03616990457809500514319012154373922385275363922119140625	-1.0495848628150362	9.888515289021253	Su(H);glu;E(z);Stat92E;osa;spn-A
frizzled binding (GO:0005109)	1/14	0.0228612315691841018472363344926634454168379306793212890625	0.058902662650869457017233088436114485375583171844482421875	0.051610733248163655206841582412380375899374485015869140625	0.1511412992357753226624339504269300960004329681396484375	-2.5845626333030602	9.765285944506594	cos
protein kinase regulator activity (GO:0019887)	2/47	0.0027244906569638522274290348690328755765222012996673583984375	0.0158928621656224712543892252369914785958826541900634765625	0.012579477046019922614750186085075256414711475372314453125	0.0733802827684495451165958002093248069286346435546875	-1.6003458158317125	9.450800259469347	CycA;CycE
Rho GTPase binding (GO:0017048)	1/16	0.0260854648882421873146153501465960289351642131805419921875	0.058902662650869457017233088436114485375583171844482421875	0.058297358276656198461385116615929291583597660064697265625	0.1511412992357753226624339504269300960004329681396484375	-2.590886955626501	9.447350658005005	pbl
protein kinase binding (GO:0019901)	3/90	0.0004360071969399179612515704551611861461424268782138824462890625	0.004756945269292552069817503479498554952442646026611328125	0.003986950597170185218998117449018536717630922794342041015625	0.03616990457809500514319012154373922385275363922119140625	-1.1584813660190174	8.964157132594462	CycA;cos;CycE
endodeoxyribonuclease activity (GO:0004520)	1/16	0.0260854648882421873146153501465960289351642131805419921875	0.058902662650869457017233088436114485375583171844482421875	0.058297358276656198461385116615929291583597660064697265625	0.1511412992357753226624339504269300960004329681396484375	-2.4264430175000515	8.847726060841453	spn-A
Notch binding (GO:0005112)	1/16	0.0260854648882421873146153501465960289351642131805419921875	0.058902662650869457017233088436114485375583171844482421875	0.058297358276656198461385116615929291583597660064697265625	0.1511412992357753226624339504269300960004329681396484375	-2.3896389578261683	8.713524583381298	Dl
deoxyribonuclease activity (GO:0004536)	1/10	0.01638168388567036448666414116814848966896533966064453125	0.05460561295223455291480973983198055066168308258056640625	0.038101584976748280320091311068608774803578853607177734375	0.1333555474186189915286604446009732782840728759765625	-1.9168088980095093	7.881134989159386	spn-A
cytokine receptor binding (GO:0005126)	1/15	0.0244746399262892981585348906037324923090636730194091796875	0.058902662650869457017233088436114485375583171844482421875	0.05495967802780250821559349105882574804127216339111328125	0.1511412992357753226624339504269300960004329681396484375	-2.022834484496775	7.504954232588194	Stat92E
protein kinase activity (GO:0004672)	4/228	0.000519236553597887868539972888726197197684086859226226806640625	0.004756945269292552069817503479498554952442646026611328125	0.007930969597861679820649527528075850568711757659912109375	0.050469806531847051511707746840329491533339023590087890625	-0.9420037645506135	7.12451670572459	Btk29A;CycA;hpo;CycE
endonuclease activity (GO:0004519)	1/26	0.04205250668543221437278845087348599918186664581298828125	0.08554248340780538917282882493964280001819133758544921875	0.09106247812129346363985149537256802432239055633544921875	0.1902187556415234903628430629396461881697177886962890625	-2.048649931209031	6.491836231787784	spn-A
transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)	2/76	0.00697194187060665333810494104227473144419491291046142578125	0.037541225457112747943000385930645279586315155029296875	0.030217406775798254237042073100383277051150798797607421875	0.1333555474186189915286604446009732782840728759765625	-1.2660303722156776	6.286931469174158	Su(H);Stat92E
phosphatidylinositol binding (GO:0035091)	1/28	0.045215312658411423163418163539972738362848758697509765625	0.08554248340780538917282882493964280001819133758544921875	0.09748388378596746506321579772702534683048725128173828125	0.1902187556415234903628430629396461881697177886962890625	-1.9632822628506288	6.078949103201115	pbl
repressing transcription factor binding (GO:0070491)	1/25	0.040467296211043467246692983962930156849324703216552734375	0.08554248340780538917282882493964280001819133758544921875	0.08783548100190825824729046189531800337135791778564453125	0.1902187556415234903628430629396461881697177886962890625	-1.8596536410236242	5.964394841904398	asf1
Rho guanyl-nucleotide exchange factor activity (GO:0005089)	1/28	0.045215312658411423163418163539972738362848758697509765625	0.08554248340780538917282882493964280001819133758544921875	0.09748388378596746506321579772702534683048725128173828125	0.1902187556415234903628430629396461881697177886962890625	-1.920073313631447	5.945160392287573	pbl
DNA-dependent ATPase activity (GO:0008094)	1/30	0.04836799158476211280000001124790287576615810394287109375	0.08909893186666704989473686282508424483239650726318359375	0.10386206961939913051562456303145154379308223724365234375	0.1964958073880524180854223459391505457460880279541015625	-1.9387187526094516	5.872218216939981	spn-A
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	1/28	0.045215312658411423163418163539972738362848758697509765625	0.08554248340780538917282882493964280001819133758544921875	0.09748388378596746506321579772702534683048725128173828125	0.1902187556415234903628430629396461881697177886962890625	-1.880547631217138	5.822776252109479	Su(H)
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	2/93	0.01028429605104803044868244654708178131841123104095458984375	0.051421480255240147039241804804987623356282711029052734375	0.043352543692076854486838755065036821179091930389404296875	0.1379399117475172686919648867842624895274639129638671875	-1.1478320322277522	5.2537846968781885	Su(H);Stat92E
protein tyrosine kinase activity (GO:0004713)	1/35	0.05620558899994397561439285482265404425561428070068359375	0.0959607617072214258424622812526649795472621917724609375	0.11962025747164582722970038730636588297784328460693359375	0.209335450575380221938104341461439616978168487548828125	-1.781488069568108	5.1284393239780774	Btk29A
